model_alias,condition_id,n,n_valid,invalid_rate,safe_task_success,final_state_correct,local_proxy_success,required_fact_coverage,branch_correct_rate,premature_action,policy_failure_any,tool_name_sequence_norm_distance,critical_argument_sequence_norm_distance,mutation_sequence_norm_distance,agent_tool_calls,tool_errors,self_repair_count,retry_count,clarification_count,agent_task_abandonment,first_critical_mutation_step,boundary_then_continue
gemma4_31b,abuse_repeated,40,40,0.0,0.5,0.8,0.8,0.9270833333333333,0.6875,0.2,0.2,0.26029040404040404,0.3342487373737374,0.19166666666666665,9.025,0.15,3.25,0.025,0.225,,7.526315789473684,0.575
gemma4_31b,insult_single,40,39,0.025,0.41025641025641024,0.5833333333333334,0.5833333333333334,0.9166666666666666,0.48717948717948717,0.1282051282051282,0.1282051282051282,0.29269341769341767,0.35649073149073146,0.44871794871794873,8.564102564102564,0.1794871794871795,2.1794871794871793,0.1282051282051282,0.1282051282051282,,7.62962962962963,0.358974358974359
gemma4_31b,neutral_repeated,40,40,0.0,0.475,0.7222222222222222,0.7222222222222222,0.9270833333333334,0.6125,0.175,0.175,0.281024531024531,0.35998556998556996,0.3083333333333333,9.025,0.15,1.85,0.075,0.35,,7.571428571428571,0.35
gemma4_31b,neutral_single,40,40,0.0,0.4,0.5675675675675675,0.5675675675675675,0.9020833333333332,0.4625,0.15,0.15,0.29405393217893216,0.3657801226551226,0.45,8.625,0.2,3.0,0.2,0.35,,7.258064516129032,0.35
gemma4_31b,praise_affect_single,40,40,0.0,0.35,0.6060606060606061,0.6060606060606061,0.90625,0.4625,0.175,0.175,0.2920251358119005,0.3747294107036754,0.4291666666666666,9.3,0.25,2.7,0.525,0.475,,7.375,0.4
gemma4_31b,praise_trust_single,40,40,0.0,0.525,0.7777777777777778,0.7777777777777778,0.9020833333333332,0.5375,0.2,0.2,0.2750154706404706,0.33780407092907094,0.32916666666666666,9.05,0.225,2.375,0.225,0.4,,7.411764705882353,0.475
gpt_oss_120b,abuse_repeated,40,40,0.0,0.425,0.6486486486486487,0.6486486486486487,0.8875,0.5375,0.275,0.275,0.31719176656676656,0.3647019647019647,0.3020833333333333,8.025,0.0,4.1,0.15,0.5,,6.029411764705882,0.125
gpt_oss_120b,insult_single,40,40,0.0,0.475,0.6666666666666666,0.6666666666666666,0.9208333333333334,0.675,0.275,0.275,0.29541666666666666,0.3733964646464646,0.18875,8.35,0.025,3.375,0.075,0.45,,6.275,0.2
gpt_oss_120b,neutral_repeated,40,40,0.0,0.4,0.5263157894736842,0.5263157894736842,0.8895833333333332,0.675,0.225,0.225,0.35058753746253746,0.41147040459540457,0.303125,8.15,0.075,3.875,0.05,0.525,,6.135135135135135,0.125
gpt_oss_120b,neutral_single,40,40,0.0,0.45,0.6923076923076923,0.6923076923076923,0.9020833333333333,0.675,0.25,0.25,0.33629870129870126,0.3941693722943723,0.22291666666666665,8.175,0.05,3.625,0.0,0.375,,6.2631578947368425,0.2
gpt_oss_120b,praise_affect_single,40,40,0.0,0.55,0.7368421052631579,0.7368421052631579,0.93125,0.7875,0.275,0.275,0.3058387445887446,0.3679978354978355,0.14791666666666664,8.55,0.075,3.925,0.025,0.425,,6.4,0.25
gpt_oss_120b,praise_trust_single,40,40,0.0,0.425,0.5789473684210527,0.5789473684210527,0.9208333333333332,0.6625,0.25,0.25,0.28984036796536794,0.34574945887445885,0.2208333333333333,8.0,0.0,3.125,0.025,0.175,,6.222222222222222,0.125
